page,product_name,matrix,processor,core,ram,ssd,card
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=1,"14"" Ультрабук HP 14s-dq0029ur серебристый",IPS,Intel Pentium 4417U,2 х 2.3 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel HD 610 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=1,"14"" Ультрабук Acer Swift 1 SF114-32-P54W розовый",IPS,Intel Pentium Silver N5000,4 х 1.1 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel UHD 605 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=1,"15.6"" Ультрабук HP 15s-fq0000ur серебристый",SVA (TN+film),Intel Pentium 4417U,2 х 2.3 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel HD 610 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=1,"11.6"" Ультрабук Acer Spin 1 SP111-34N-P6VE серебристый",IPS,Intel Pentium Silver N5000,4 х 1.1 ГГц,RAM 4 ГБ,SSD 64 ГБ,Intel UHD 605 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=1,"14"" Ультрабук Acer Swift 1 SF114-32-P0SX черный",IPS,Intel Pentium Silver N5000,4 х 1.1 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel UHD 605 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=1,"14"" Ультрабук Acer Swift 1 SF114-32-P2FA золотистый",IPS,Intel Pentium Silver N5000,4 х 1.1 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel UHD 605 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=1,"14"" Ультрабук Acer Swift 1 SF114-32-P6XL серебристый",IPS,Intel Pentium Silver N5000,4 х 1.1 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel UHD 605 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=1,"13.3"" Ультрабук Acer Swift 3 SF313-51-3410 серебристый",IPS,Intel Core i3 8130U,2 х 2.2 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel UHD Graphics 620 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=1,"14"" Ультрабук ASUS Vivobook Flip TP401MA-EC011T серый",IPS,Intel Pentium Silver N5000,4 х 1.1 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel UHD 605 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=1,"14"" Ультрабук ASUS Vivobook Flip TP401MA-EC156T серый",IPS,Intel Pentium Silver N5000,4 х 1.1 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel UHD 605 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=1,"14"" Ультрабук Acer Swift 1 SF114-32-P3T4 зеленый",IPS,Intel Pentium Silver N5000,4 х 1.1 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel UHD 605 
