product_name,product_url,price,matrix,processor,core,ram,ssd,card
"14"" Ультрабук HP 14s-dq0029ur серебристый",https://www.dns-shop.ru/product/855c8bc8d4571b80/14-ultrabuk-hp-14s-dq0029ur-serebristyj/,26999,IPS,Intel Pentium 4417U,2 х 2.3 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel HD 610 
"14"" Ультрабук Acer Swift 1 SF114-32-P0SX черный",https://www.dns-shop.ru/product/d40c340fbbd33330/14-ultrabuk-acer-swift-1-sf114-32-p0sx-cernyj/,28999,IPS,Intel Pentium Silver N5000,4 х 1.1 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel UHD 605 
"15.6"" Ультрабук HP 15s-fq0000ur серебристый",https://www.dns-shop.ru/product/7780cf568e443332/156-ultrabuk-hp-15s-fq0000ur-serebristyj/,27999,SVA (TN+film),Intel Pentium 4417U,2 х 2.3 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel HD 610 
"14"" Ультрабук Acer Swift 1 SF114-32-P6XL серебристый",https://www.dns-shop.ru/product/d40c3407bbd33330/14-ultrabuk-acer-swift-1-sf114-32-p6xl-serebristyj/,28999,IPS,Intel Pentium Silver N5000,4 х 1.1 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel UHD 605 
"14"" Ультрабук Acer Swift 1 SF114-32-P54W розовый",https://www.dns-shop.ru/product/da12cf9bbbd33330/14-ultrabuk-acer-swift-1-sf114-32-p54w-rozovyj/,27999,IPS,Intel Pentium Silver N5000,4 х 1.1 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel UHD 605 
"13.3"" Ультрабук Acer Swift 3 SF313-51-3410 серебристый",https://www.dns-shop.ru/product/13486acced341b80/133-ultrabuk-acer-swift-3-sf313-51-3410-serebristyj/,29999,IPS,Intel Core i3 8130U,2 х 2.2 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel UHD Graphics 620 
"11.6"" Ультрабук Acer Spin 1 SP111-34N-P6VE серебристый",https://www.dns-shop.ru/product/7b47ccfed4fe1b80/116-ultrabuk-acer-spin-1-sp111-34n-p6ve-serebristyj/,28999,IPS,Intel Pentium Silver N5000,4 х 1.1 ГГц,RAM 4 ГБ,SSD 64 ГБ,Intel UHD 605 
"14"" Ультрабук Acer Swift 1 SF114-32-P2FA золотистый",https://www.dns-shop.ru/product/d40c3411bbd33330/14-ultrabuk-acer-swift-1-sf114-32-p2fa-zolotistyj/,28999,IPS,Intel Pentium Silver N5000,4 х 1.1 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel UHD 605 
"14"" Ультрабук HP 14s-dq1018ur серебристый",https://www.dns-shop.ru/product/7f5ccbf9d4571b80/14-ultrabuk-hp-14s-dq1018ur-serebristyj/,36999,IPS,Intel Core i3 1005G1,2 х 1.2 ГГц,RAM 4 ГБ,SSD 256 ГБ,Intel UHD 
"15.6"" Ультрабук HP 15s-fq1015ur серебристый",https://www.dns-shop.ru/product/91bc1ebcd4571b80/156-ultrabuk-hp-15s-fq1015ur-serebristyj/,35999,IPS,Intel Core i3 1005G1,2 х 1.2 ГГц,RAM 4 ГБ,SSD 256 ГБ,Intel UHD 
"14"" Ультрабук HP 14s-dq1000ur серебристый",https://www.dns-shop.ru/product/ae29c8d31bbb1b80/14-ultrabuk-hp-14s-dq1000ur-serebristyj/,36299,SVA (TN+film),Intel Core i3 1005G1,2 х 1.2 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel UHD 
"14"" Ультрабук Lenovo Yoga 530-14IKB серый",https://www.dns-shop.ru/product/5ac315af0c3e3332/14-ultrabuk-lenovo-yoga-530-14ikb-seryj/,34999,IPS,Intel Pentium 4415U,2 х 2.3 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel UHD Graphics 610 
"15.6"" Ультрабук HP 15s-fq1012ur серебристый",https://www.dns-shop.ru/product/91bc1eb8d4571b80/156-ultrabuk-hp-15s-fq1012ur-serebristyj/,31999,SVA (TN+film),Intel Core i3 1005G1,2 х 1.2 ГГц,RAM 4 ГБ,SSD 256 ГБ,Intel UHD 
"14"" Ультрабук Lenovo Ideapad S340-14API синий",https://www.dns-shop.ru/product/d30b86fb87681b80/14-ultrabuk-lenovo-ideapad-s340-14api-sinij/,33999,IPS,AMD Ryzen 3 3200U,2 х 2.6 ГГц,RAM 4 ГБ,SSD 128 ГБ,Radeon Vega 3 
"14"" Ультрабук ASUS Vivobook Flip TP401MA-EC156T серый",https://www.dns-shop.ru/product/6e75caf301f01b80/14-ultrabuk-asus-vivobook-flip-tp401ma-ec156t-seryj/,29999,IPS,Intel Pentium Silver N5000,4 х 1.1 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel UHD 605 
"14"" Ультрабук Acer Swift 3 SF314-41-R759 серебристый",https://www.dns-shop.ru/product/7b47cd00d4fe1b80/14-ultrabuk-acer-swift-3-sf314-41-r759-serebristyj/,34499,IPS,AMD Ryzen 3 3200U,2 х 2.6 ГГц,RAM 4 ГБ,SSD 128 ГБ,Radeon Vega 3 
"14"" Ультрабук ASUS Vivobook Flip TP401MA-EC011T серый",https://www.dns-shop.ru/product/83647b61ceb93332/14-ultrabuk-asus-vivobook-flip-tp401ma-ec011t-seryj/,29999,IPS,Intel Pentium Silver N5000,4 х 1.1 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel UHD 605 
"14"" Ультрабук HP Pavilion 14-ce3023ur серебристый",https://www.dns-shop.ru/product/7d0f2ad81c803332/14-ultrabuk-hp-pavilion-14-ce3023ur-serebristyj/,36999,IPS,Intel Core i3 1005G1,2 х 1.2 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel UHD 
"14"" Ультрабук Acer Swift 3 SF314-58-30GA серебристый",https://www.dns-shop.ru/product/6735170369a53332/14-ultrabuk-acer-swift-3-sf314-58-30ga-serebristyj/,37499,IPS,Intel Core i3 10110U,2 х 2.1 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel UHD Graphics 620 
"14"" Ультрабук Lenovo Yoga 530-14IKB серый",https://www.dns-shop.ru/product/cbf0b735d4f51b80/14-ultrabuk-lenovo-yoga-530-14ikb-seryj/,39999,IPS,Intel Core i3 7020U,2 х 2.3 ГГц,RAM 4 ГБ,SSD 256 ГБ,Intel HD Graphics 620 
"15.6"" Ультрабук HP Pavilion 15-cw1036ur золотистый",https://www.dns-shop.ru/product/e8b66056796b3332/156-ultrabuk-hp-pavilion-15-cw1036ur-zolotistyj/,41999,IPS,AMD Ryzen 3 3300U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Radeon Vega 6 
"13.3"" Ультрабук ASUS VivoBook S13 S330FA-EY004T серебристый",https://www.dns-shop.ru/product/d27f507e520c3332/133-ultrabuk-asus-vivobook-s13-s330fa-ey004t-serebristyj/,41999,IPS,Intel Core i3 8145U,2 х 2.1 ГГц,RAM 4 ГБ,SSD 256 ГБ,Intel UHD Graphics 620 
"14"" Ультрабук Honor MagicBook VLR-W09 серебристый",https://www.dns-shop.ru/product/94bfe4fc6d783332/14-ultrabuk-honor-magicbook-vlr-w09-serebristyj/,39999,IPS,Intel Core i3 8145U,2 х 2.1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD Graphics 620 
"13.3"" Ультрабук HP Pavilion 13-an1020ur серебристый",https://www.dns-shop.ru/product/767cd3af1c803332/133-ultrabuk-hp-pavilion-13-an1020ur-serebristyj/,41999,IPS,Intel Core i3 1005G1,2 х 1.2 ГГц,RAM 4 ГБ,SSD 256 ГБ,Intel UHD 
"15.6"" Ультрабук HP Pavilion 15-cw1035ur серебристый",https://www.dns-shop.ru/product/873f7191796b3332/156-ultrabuk-hp-pavilion-15-cw1035ur-serebristyj/,41999,IPS,AMD Ryzen 3 3300U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Radeon Vega 6 
"14"" Ультрабук Acer Swift 3 SF314-41-R431 серебристый",https://www.dns-shop.ru/product/68c9d33ed4fe1b80/14-ultrabuk-acer-swift-3-sf314-41-r431-serebristyj/,39999,IPS,AMD Ryzen 3 3200U,2 х 2.6 ГГц,RAM 8 ГБ,SSD 256 ГБ,Radeon Vega 3 
"13.3"" Ультрабук ASUS VivoBook S13 S330FA-EY127T серебристый",https://www.dns-shop.ru/product/95c4c243ceb93332/133-ultrabuk-asus-vivobook-s13-s330fa-ey127t-serebristyj/,39999,IPS,Intel Core i3 8145U,2 х 2.1 ГГц,RAM 4 ГБ,SSD 256 ГБ,Intel UHD Graphics 620 
"14"" Ультрабук Acer Swift 3 SF314-41-R0TE синий",https://www.dns-shop.ru/product/6edf36a5d4fe1b80/14-ultrabuk-acer-swift-3-sf314-41-r0te-sinij/,39999,IPS,AMD Ryzen 3 3200U,2 х 2.6 ГГц,RAM 8 ГБ,SSD 256 ГБ,Radeon Vega 3 
"14"" Ультрабук HP Pavilion 14-ce3024ur белый",https://www.dns-shop.ru/product/7d0f2ad61c803332/14-ultrabuk-hp-pavilion-14-ce3024ur-belyj/,38999,IPS,Intel Core i3 1005G1,2 х 1.2 ГГц,RAM 4 ГБ,SSD 256 ГБ,Intel UHD 
"15.6"" Ультрабук HP 15s-fq1014ur серебристый",https://www.dns-shop.ru/product/91bc1ebbd4571b80/156-ultrabuk-hp-15s-fq1014ur-serebristyj/,37999,SVA (TN+film),Intel Core i3 1005G1,2 х 1.2 ГГц,RAM 4 ГБ,SSD 256 ГБ,Intel UHD 
"14"" Ультрабук Acer Swift 3 SF314-41-R37C серебристый",https://www.dns-shop.ru/product/a2034e048ab93332/14-ultrabuk-acer-swift-3-sf314-41-r37c-serebristyj/,39999,IPS,AMD Ryzen 3 3200U,2 х 2.6 ГГц,RAM 8 ГБ,SSD 512 ГБ,Radeon Vega 3 
"14"" Ультрабук Lenovo Yoga 530-14ARR черный",https://www.dns-shop.ru/product/b0f4686bbd663330/14-ultrabuk-lenovo-yoga-530-14arr-cernyj/,37999,IPS,AMD Ryzen 3 2200U,2 х 2.5 ГГц,RAM 4 ГБ,SSD 128 ГБ,Radeon Vega 3 
"14"" Ультрабук HP 14s-dq1002ur серебристый",https://www.dns-shop.ru/product/ae29c8d41bbb1b80/14-ultrabuk-hp-14s-dq1002ur-serebristyj/,37999,IPS,Intel Core i3 1005G1,2 х 1.2 ГГц,RAM 4 ГБ,SSD 256 ГБ,Intel UHD 
"14"" Ультрабук Acer Swift 3 SF314-41-R9DR серебристый",https://www.dns-shop.ru/product/a2034e068ab93332/14-ultrabuk-acer-swift-3-sf314-41-r9dr-serebristyj/,37999,IPS,AMD Ryzen 3 3200U,2 х 2.6 ГГц,RAM 8 ГБ,SSD 256 ГБ,Radeon Vega 3 
"13.3"" Ультрабук HP Pavilion 13-an1021ur серебристый",https://www.dns-shop.ru/product/767cd3ae1c803332/133-ultrabuk-hp-pavilion-13-an1021ur-serebristyj/,37999,SVA (TN+film),Intel Core i3 1005G1,2 х 1.2 ГГц,RAM 4 ГБ,SSD 128 ГБ,Intel UHD 
"13.3"" Ультрабук HP Pavilion 13-an1022ur серебристый",https://www.dns-shop.ru/product/767cd3a91c803332/133-ultrabuk-hp-pavilion-13-an1022ur-serebristyj/,43999,IPS,Intel Core i3 1005G1,2 х 1.2 ГГц,RAM 4 ГБ,SSD 256 ГБ,Intel UHD 
"13.3"" Ультрабук HP ENVY x360 13-ag0007ur серебристый",https://www.dns-shop.ru/product/5921907ac84f1b80/133-ultrabuk-hp-envy-x360-13-ag0007ur-serebristyj/,45999,IPS,AMD Ryzen 3 2300U,4 х 2 ГГц,RAM 8 ГБ,SSD 512 ГБ,Radeon Vega 6 
"13.3"" Ультрабук HP Pavilion 13-an1017ur серебристый",https://www.dns-shop.ru/product/855c8bced4571b80/133-ultrabuk-hp-pavilion-13-an1017ur-serebristyj/,39999,IPS,Intel Core i3 1005G1,2 х 1.2 ГГц,RAM 4 ГБ,SSD 256 ГБ,Intel UHD 
"15.6"" Ультрабук Huawei MateBook D 15 Boh-WAQ9R серый",https://www.dns-shop.ru/product/c679f52468d63332/156-ultrabuk-huawei-matebook-d-15-boh-waq9r-seryj/,44999,IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Radeon Vega 8 
"13.3"" Ультрабук Acer Swift 3 SF313-51-53MA серебристый",https://www.dns-shop.ru/product/752d78a5d4fe1b80/133-ultrabuk-acer-swift-3-sf313-51-53ma-serebristyj/,45999,IPS,Intel Core i5 8250U,4 х 1.6 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD Graphics 620 
"14"" Ультрабук Acer Swift 3 SF314-41-R27A серебристый",https://www.dns-shop.ru/product/a2034e0a8ab93332/14-ultrabuk-acer-swift-3-sf314-41-r27a-serebristyj/,45999,IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 512 ГБ,Radeon Vega 8 
"14"" Ультрабук Honor MagicBook 14 Nbl-WAQ9HNR серый",https://www.dns-shop.ru/product/96a92f403b483332/14-ultrabuk-honor-magicbook-14-nbl-waq9hnr-seryj/,44999,IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Radeon Vega 8 
"15.6"" Ультрабук HP Pavilion 15-cw1037ur серебристый",https://www.dns-shop.ru/product/04df0ab1796d3332/156-ultrabuk-hp-pavilion-15-cw1037ur-serebristyj/,44999,IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Radeon Vega 8 
"14"" Ультрабук HP 14s-dq1019ur серебристый",https://www.dns-shop.ru/product/7934db3bd4571b80/14-ultrabuk-hp-14s-dq1019ur-serebristyj/,44999,IPS,Intel Core i5 1035G1,4 х 1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD 
"13.3"" Ультрабук ASUS VivoBook S13 S330FA-EY005T серебристый",https://www.dns-shop.ru/product/8f9b8c1aceb93332/133-ultrabuk-asus-vivobook-s13-s330fa-ey005t-serebristyj/,44999,IPS,Intel Core i5 8265U,4 х 1.6 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD Graphics 620 
